"";"codigo_region";"region";"codigo_comuna";"comuna";"genero";"variable";"valor";"nivel";"region_corta";"comuna_corta"
"1";1;"Tarapacá";1101;"Iquique";NA;"Porcentaje de asalariados formales dependientes con ingreso imponible igual al ingreso mínimo";3,69828157126904;"comuna";"Tarapacá";"Iquique"
"2";1;"Tarapacá";1107;"Alto Hospicio";NA;"Porcentaje de asalariados formales dependientes con ingreso imponible igual al ingreso mínimo";4,09327074885368;"comuna";"Tarapacá";"Alto Hospicio"
"3";1;"Tarapacá";1401;"Pozo Almonte";NA;"Porcentaje de asalariados formales dependientes con ingreso imponible igual al ingreso mínimo";3,80568020045757;"comuna";"Tarapacá";"Pozo Almonte"
"4";1;"Tarapacá";1402;"Camiña";NA;"Porcentaje de asalariados formales dependientes con ingreso imponible igual al ingreso mínimo";6,66666701436043;"comuna";"Tarapacá";"Camiña"
"5";1;"Tarapacá";1403;"Colchane";NA;"Porcentaje de asalariados formales dependientes con ingreso imponible igual al ingreso mínimo";4,7721017152071;"comuna";"Tarapacá";"Colchane"
"6";1;"Tarapacá";1404;"Huara";NA;"Porcentaje de asalariados formales dependientes con ingreso imponible igual al ingreso mínimo";5,1293358206749;"comuna";"Tarapacá";"Huara"
"7";1;"Tarapacá";1405;"Pica";NA;"Porcentaje de asalariados formales dependientes con ingreso imponible igual al ingreso mínimo";3,92003916203976;"comuna";"Tarapacá";"Pica"
"8";2;"Antofagasta";2101;"Antofagasta";NA;"Porcentaje de asalariados formales dependientes con ingreso imponible igual al ingreso mínimo";2,57907602936029;"comuna";"Antofagasta";"Antofagasta"
"9";2;"Antofagasta";2102;"Mejillones";NA;"Porcentaje de asalariados formales dependientes con ingreso imponible igual al ingreso mínimo";2,15260814875364;"comuna";"Antofagasta";"Mejillones"
"10";2;"Antofagasta";2103;"Sierra Gorda";NA;"Porcentaje de asalariados formales dependientes con ingreso imponible igual al ingreso mínimo";2,93882768601179;"comuna";"Antofagasta";"Sierra Gorda"
"11";2;"Antofagasta";2104;"Taltal";NA;"Porcentaje de asalariados formales dependientes con ingreso imponible igual al ingreso mínimo";2,12163459509611;"comuna";"Antofagasta";"Taltal"
"12";2;"Antofagasta";2201;"Calama";NA;"Porcentaje de asalariados formales dependientes con ingreso imponible igual al ingreso mínimo";2,16174218803644;"comuna";"Antofagasta";"Calama"
"13";2;"Antofagasta";2202;"Ollagüe";NA;"Porcentaje de asalariados formales dependientes con ingreso imponible igual al ingreso mínimo";2,90620867162943;"comuna";"Antofagasta";"Ollagüe"
"14";2;"Antofagasta";2203;"San Pedro de Atacama";NA;"Porcentaje de asalariados formales dependientes con ingreso imponible igual al ingreso mínimo";3,17436307668686;"comuna";"Antofagasta";"San Pedro de Atacama"
"15";2;"Antofagasta";2301;"Tocopilla";NA;"Porcentaje de asalariados formales dependientes con ingreso imponible igual al ingreso mínimo";2,60764416307211;"comuna";"Antofagasta";"Tocopilla"
"16";2;"Antofagasta";2302;"María Elena";NA;"Porcentaje de asalariados formales dependientes con ingreso imponible igual al ingreso mínimo";0,944525189697742;"comuna";"Antofagasta";"María Elena"
"17";3;"Atacama";3101;"Copiapó";NA;"Porcentaje de asalariados formales dependientes con ingreso imponible igual al ingreso mínimo";2,27861721068621;"comuna";"Atacama";"Copiapó"
"18";3;"Atacama";3102;"Caldera";NA;"Porcentaje de asalariados formales dependientes con ingreso imponible igual al ingreso mínimo";2,54831314086914;"comuna";"Atacama";"Caldera"
"19";3;"Atacama";3103;"Tierra Amarilla";NA;"Porcentaje de asalariados formales dependientes con ingreso imponible igual al ingreso mínimo";2,29337643831968;"comuna";"Atacama";"Tierra Amarilla"
"20";3;"Atacama";3201;"Chañaral";NA;"Porcentaje de asalariados formales dependientes con ingreso imponible igual al ingreso mínimo";2,37476602196693;"comuna";"Atacama";"Chañaral"
"21";3;"Atacama";3202;"Diego de Almagro";NA;"Porcentaje de asalariados formales dependientes con ingreso imponible igual al ingreso mínimo";1,970199868083;"comuna";"Atacama";"Diego de Almagro"
"22";3;"Atacama";3301;"Vallenar";NA;"Porcentaje de asalariados formales dependientes con ingreso imponible igual al ingreso mínimo";2,54722889512777;"comuna";"Atacama";"Vallenar"
"23";3;"Atacama";3302;"Alto del Carmen";NA;"Porcentaje de asalariados formales dependientes con ingreso imponible igual al ingreso mínimo";5,04094883799553;"comuna";"Atacama";"Alto del Carmen"
